Id,SalePrice
1461,126658.17872118748
1462,158474.77809235954
1463,184181.64191644028
1464,195416.12335699625
1465,186163.8710311075
1466,172000.09533560878
1467,173987.067499438
1468,166723.44617455028
1469,179459.70790037565
1470,125302.50846625312
1471,200492.4633853689
1472,95399.08217223317
1473,97538.05735641108
1474,154337.66175313247
1475,132528.07680439774
1476,425064.6745699447
1477,255485.00093168468
1478,297400.1086379473
1479,264439.27616304695
1480,476627.90067248687
1481,297918.6004075112
1482,203801.80574929478
1483,176673.4820309454
1484,170260.37523786604
1485,172711.39650847603
1486,197388.73107246516
1487,331993.99402362003
1488,240788.2810275008
1489,207188.58042425287
1490,202829.32283560623
1491,188781.35092196194
1492,95896.63092602664
1493,185461.22981630088
1494,297544.7508719821
1495,271339.75714984303
1496,232319.10664215626
1497,181886.39526431134
1498,155968.76826565646
1499,156605.90386176656
1500,156163.59699383844
1501,186824.41378615797
1502,162140.05073267582
1503,325115.11388610664
1504,232833.7542600634
1505,219126.79012116752
1506,188865.33597763677
1507,250058.4738605618
1508,195816.2245290065
1509,165875.77928924572
1510,139854.3584736386
1511,136611.4202075441
1512,164790.04541661142
1513,144763.2291879824
1514,166460.2271335287
1515,178019.9653513997
1516,146652.12946855015
1517,160936.65984002527
1518,131667.9217543419
1519,230474.4563702776
1520,135874.6818698008
1521,136238.2328632922
1522,167944.65663492412
1523,113876.04237429198
1524,125623.72081781559
1525,129190.4731717416
1526,122921.47748036048
1527,105137.81126447553
1528,132123.8522859384
1529,145162.55585923226
1530,165769.4861549263
1531,112135.14910879491
1532,99296.54367660645
1533,149020.27153056374
1534,118798.18201619586
1535,157223.68306121012
1536,109272.2877532119
1537,69147.345542454
1538,181357.23987022514
1539,227857.94231488454
1540,92167.06458910262
1541,142004.5654154738
1542,151153.8977317174
1543,232852.76422281956
1544,77473.4365801123
1545,105137.50842884081
1546,124004.73898466202
1547,142341.76935184852
1548,137557.3457321897
1549,110414.26385581664
1550,146546.65598055348
1551,103130.95438985054
1552,136076.36099324742
1553,152400.0136218521
1554,112844.36337041907
1555,177395.1348250993
1556,85739.6318788148
1557,87374.11556551988
1558,90489.22480699969
1559,86760.76473234849
1560,135739.60568637564
1561,147292.6401776914
1562,129763.16841618391
1563,119870.99041429682
1564,156182.56141608892
1565,144863.20594940032
1566,220443.25319520305
1567,69079.47467606519
1568,232023.4756843237
1569,150290.8047775949
1570,141890.1292545284
1571,129910.3546421355
1572,150949.41388395778
1573,259457.98444137126
1574,118650.60832270343
1575,205573.56540055075
1576,222162.60433118776
1577,197634.24112092282
1578,144886.25231900264
1579,140116.04660906698
1580,196475.5085140932
1581,149710.70229596182
1582,126141.48988700267
1583,310424.6600747441
1584,224846.44205667567
1585,139995.6613671201
1586,68685.93417092817
1587,99282.30967319569
1588,146077.54458388154
1589,101476.9174699832
1590,126308.72575181456
1591,99791.44235938221
1592,116479.07360349863
1593,129350.64213969636
1594,135658.59279371065
1595,103240.53343072574
1596,231339.08885812951
1597,179052.5305074523
1598,202186.1216268648
1599,201098.22448558215
1600,188032.23786781234
1601,74776.06122432883
1602,123309.11628288803
1603,84056.00578370108
1604,271772.8420348777
1605,250503.72999162335
1606,170443.39287481442
1607,155633.84991223665
1608,204577.5558174269
